Bat_Test_M,Bat_Test_Inn,Bat_Test_NO,Bat_Test_Runs,Bat_Test_HS,Bat_Test_Avg,Bat_Test_BF,Bat_Test_SR,Bat_Test_100,Bat_Test_200,Bat_Test_50,Bat_Test_4s,Bat_Test_6s,Bat_ODI_M,Bat_ODI_Inn,Bat_ODI_NO,Bat_ODI_Runs,Bat_ODI_HS,Bat_ODI_Avg,Bat_ODI_BF,Bat_ODI_SR,Bat_ODI_100,Bat_ODI_200,Bat_ODI_50,Bat_ODI_4s,Bat_ODI_6s,Bat_T20I_M,Bat_T20I_Inn,Bat_T20I_NO,Bat_T20I_Runs,Bat_T20I_HS,Bat_T20I_Avg,Bat_T20I_BF,Bat_T20I_SR,Bat_T20I_100,Bat_T20I_200,Bat_T20I_50,Bat_T20I_4s,Bat_T20I_6s,Bat_IPL_M,Bat_IPL_Inn,Bat_IPL_NO,Bat_IPL_Runs,Bat_IPL_HS,Bat_IPL_Avg,Bat_IPL_BF,Bat_IPL_SR,Bat_IPL_100,Bat_IPL_200,Bat_IPL_50,Bat_IPL_4s,Bat_IPL_6s
102,173,10,8074,254,49.53,14499,55.69,27,7,28,910,24,264,255,39,12358,183,57.21,13317,92.8,43,0,64,1161,126,115,107,31,4008,122,52.74,2905,137.97,1,0,37,356,117,223,215,32,6624,113,36.2,5129,129.15,5,0,44,578,218
45,77,9,3137,212,46.13,5625,55.77,8,1,14,335,64,235,228,34,9454,264,48.73,10572,89.42,29,3,46,862,256,148,140,15,3853,118,30.82,2767,139.25,4,0,29,348,182,227,222,28,5879,109,30.3,4526,129.89,1,0,40,519,240
34,58,1,2315,190,40.61,3458,66.95,7,0,5,316,12,166,163,10,6790,143,44.38,7428,91.41,17,0,39,842,79,68,66,3,1759,92,27.92,1392,126.36,0,0,11,191,50,206,205,26,6243,106,34.88,4942,126.33,2,0,47,701,136
11,21,2,579,91,30.47,1010,57.33,0,0,4,75,8,15,15,3,687,130,57.25,693,99.13,1,0,4,74,11,-,-,-,-,-,-,-,-,-,-,-,-,-,74,71,12,1900,96,32.2,1517,125.25,0,0,14,188,47
5,9,0,422,105,46.89,615,68.62,1,0,3,52,9,38,34,3,1534,113,49.48,1595,96.18,2,0,14,152,30,49,45,11,1043,74,30.68,767,135.98,0,0,7,85,42,101,101,13,2776,96,31.55,2214,125.38,0,0,19,237,99
-,-,-,-,-,-,-,-,-,-,-,-,-,29,24,7,566,104,33.29,625,90.56,1,0,2,45,5,39,33,17,709,79,44.31,562,126.16,0,0,3,49,19,160,149,27,3648,114,29.9,3002,121.52,1,0,21,317,105
21,36,0,1488,243,41.33,2782,53.49,4,2,6,189,28,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1,-,-,-,-,-,-,-,-,-,-,-,-,-,113,107,4,2331,106,22.63,1733,134.51,1,0,12,227,91
5,9,1,339,134,42.38,394,86.04,1,0,2,48,2,6,6,0,189,49,31.5,166,113.86,0,0,0,32,2,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,63,63,0,1588,99,25.21,1077,147.45,0,0,12,192,55
96,164,9,6792,206,43.82,15383,44.15,18,3,33,816,15,5,5,0,51,27,10.2,130,39.23,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4
82,140,12,4931,188,38.52,9972,49.45,12,0,25,561,34,90,87,3,2962,111,35.26,3767,78.63,3,0,24,293,33,20,20,2,375,61,20.83,331,113.29,0,0,1,32,6,158,148,16,4074,105,30.86,3376,120.68,2,0,28,431,80
11,18,1,532,108,31.29,720,73.89,1,0,4,68,12,66,48,7,1386,92,33.8,1199,115.6,0,0,8,105,54,81,61,16,1160,71,25.78,794,146.1,0,0,3,81,62,107,100,35,1963,91,30.2,1330,147.59,0,0,8,146,110
16,28,3,839,111,33.56,1988,42.2,1,0,5,107,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1
60,89,20,2523,175,36.57,4240,59.5,3,0,17,253,55,171,115,40,2447,87,32.63,2828,86.53,0,0,13,179,50,64,34,15,457,46,24.05,367,124.52,0,0,0,34,12,210,161,67,2502,62,26.62,1960,127.65,0,0,2,182,90
86,123,14,2931,124,26.89,5364,54.64,5,0,12,339,16,113,63,20,707,65,16.44,813,86.96,0,0,1,60,7,65,19,12,184,31,26.29,160,115.0,0,0,0,17,4,184,75,27,647,50,13.48,550,117.64,0,0,1,51,21
43,74,2,2547,199,35.38,4833,52.7,7,0,13,309,17,47,45,6,1752,112,44.92,1993,87.91,5,0,11,130,43,72,68,8,2265,110,37.75,1628,139.13,2,0,22,191,99,109,100,19,3889,132,48.01,2855,136.22,4,0,31,327,164
-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,5,330,86,66.0,315,104.76,0,0,2,25,15,16,15,1,296,77,21.14,219,135.16,0,0,1,23,13,138,134,13,3526,119,29.14,2598,135.72,3,0,17,279,158
40,56,10,1353,117,29.41,2973,45.51,3,0,6,129,14,9,5,2,41,16,13.67,56,73.21,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,144,119,23,2427,115,25.28,1898,127.87,1,0,11,231,76
31,53,4,2123,159,43.33,2922,72.66,5,0,10,233,48,30,26,1,865,125,34.6,811,106.66,1,0,5,90,26,66,56,12,987,65,22.43,780,126.54,0,0,3,86,37,98,97,15,2838,128,34.61,1918,147.97,1,0,15,260,129
60,84,24,685,56,11.42,928,73.81,0,0,2,76,22,82,39,17,184,25,8.36,222,82.88,0,0,0,14,8,23,3,2,0,0,0.0,2,0.0,0,0,0,0,0,93,23,12,69,21,6.27,73,94.52,0,0,0,5,2
30,46,17,212,34,7.31,455,46.59,0,0,0,24,6,72,20,13,47,14,6.71,93,50.54,0,0,0,5,1,60,7,5,8,7,4.0,13,61.54,0,0,0,1,0,120,26,19,56,16,8.0,66,84.85,0,0,0,4,1
7,8,0,54,26,6.75,185,29.19,0,0,0,6,0,72,24,13,125,19,11.36,199,62.81,0,0,0,10,0,25,4,3,43,23,43.0,48,89.58,0,0,0,2,0,59,18,11,105,16,15.0,127,82.68,0,0,0,8,2
-,-,-,-,-,-,-,-,-,-,-,-,-,70,14,5,77,18,8.56,141,54.61,0,0,0,8,0,71,4,2,5,3,2.5,11,45.45,0,0,0,0,0,131,20,13,37,8,5.29,86,43.02,0,0,0,0,0
2,3,1,8,5,4.0,27,29.63,0,0,0,1,0,8,5,3,107,45,53.5,137,78.1,0,0,0,9,3,11,3,3,12,11,0.0,11,109.09,0,0,0,2,0,30,7,3,33,12,8.25,37,89.19,0,0,0,3,0
8,14,1,254,67,19.54,367,69.21,0,0,3,32,9,30,18,6,267,50,22.25,246,108.54,0,0,1,26,8,25,6,3,69,22,23.0,38,181.58,0,0,0,5,4,75,24,8,173,29,10.81,134,129.1,0,0,0,12,8
52,61,26,408,31,11.66,822,49.64,0,0,0,37,20,75,24,14,79,18,7.9,134,58.96,0,0,0,8,1,9,2,1,22,20,22.0,21,104.76,0,0,0,2,0,133,45,27,177,24,9.83,168,105.36,0,0,0,15,8
13,19,8,66,16,6.0,118,55.93,0,0,0,7,2,15,6,2,20,9,5.0,46,43.48,0,0,0,2,0,8,1,0,5,5,5.0,7,71.43,0,0,0,1,0,65,20,13,96,14,13.71,109,88.07,0,0,0,10,2
3,6,0,58,32,9.67,227,25.55,0,0,0,7,0,147,145,3,4343,139,30.58,6297,68.97,11,0,20,455,32,61,59,6,1079,72,20.36,971,111.12,0,0,3,120,23,-,-,-,-,-,-,-,-,-,-,-,-,-
2,4,0,73,39,18.25,176,41.48,0,0,0,10,0,10,10,0,188,73,18.8,280,67.14,0,0,2,26,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,6,0,146,82,24.33,247,59.11,0,0,2,23,0,87,85,5,2544,145,31.8,3383,75.2,7,0,13,244,31,85,82,3,1810,83,22.91,1438,125.87,0,0,8,193,48,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,14,14,7.0,98,14.29,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,1,36,26,18.0,23,156.52,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-
3,6,1,258,118,51.6,467,55.25,1,0,1,29,0,152,141,18,3619,142,29.42,4076,88.79,2,0,18,332,84,109,103,10,1973,124,21.22,1506,131.01,1,0,5,165,82,-,-,-,-,-,-,-,-,-,-,-,-,-
3,6,0,104,36,17.33,177,58.76,0,0,0,16,0,138,136,3,5172,177,38.89,5958,86.81,13,0,26,556,119,121,120,8,3181,115,28.4,2360,134.79,1,0,21,360,118,-,-,-,-,-,-,-,-,-,-,-,-,-
3,6,0,64,53,10.67,194,32.99,0,0,1,7,0,19,15,1,228,39,16.29,251,90.84,0,0,0,24,3,40,30,8,328,56,14.91,254,129.13,0,0,1,23,14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,4,1,45,33,15.0,114,39.47,0,0,0,7,0,104,99,12,2072,113,23.82,2881,71.92,1,0,12,180,21,81,68,8,1268,65,21.13,1212,104.62,0,0,3,108,20,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,29,24,1,460,83,20.0,645,71.32,0,0,2,30,8,49,45,5,875,84,21.88,713,122.72,0,0,5,80,21,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,24,16,6,35,14,3.5,56,62.5,0,0,0,3,1,12,5,4,7,4,7.0,13,53.85,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,64,39,32.0,179,35.75,0,0,0,8,0,102,71,24,886,74,18.85,1167,75.92,0,0,3,72,15,111,67,27,795,58,19.88,615,129.27,0,0,1,58,27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,6,2,109,54,27.25,132,82.58,0,0,1,14,2,58,36,12,188,23,7.83,297,63.3,0,0,0,17,1,14,5,3,26,12,13.0,25,104.0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,11,8,5.5,24,45.83,0,0,0,0,1,26,21,8,253,32,19.46,242,104.55,0,0,0,16,14,58,42,10,406,38,12.69,345,117.68,0,0,0,26,17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,4,0,18,11,4.5,77,23.38,0,0,0,3,0,67,45,10,666,79,19.03,936,71.15,0,0,2,60,11,32,18,6,155,36,12.92,132,117.42,0,0,0,11,5,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,38,26,6,162,18,8.1,285,56.84,0,0,0,13,1,35,22,9,187,32,14.38,157,119.11,0,0,0,13,9,-,-,-,-,-,-,-,-,-,-,-,-,-
3,6,1,43,17,8.6,99,43.43,0,0,0,6,0,75,34,21,101,18,7.77,239,42.26,0,0,0,4,1,50,15,8,64,16,9.14,74,86.49,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10,0,278,62,27.8,618,44.98,0,0,2,30,1,146,142,3,5406,153,38.89,6163,87.72,17,0,30,533,129,103,103,12,3120,172,34.29,2189,142.53,2,0,19,309,125,92,90,6,2091,88,24.89,1631,128.2,0,0,15,214,78
89,157,20,8381,239,61.18,15439,54.28,29,4,36,916,45,139,124,15,4917,164,45.11,5610,87.65,12,0,29,431,47,63,51,11,1008,90,25.2,805,125.22,0,0,4,85,24,103,93,21,2485,101,34.51,1940,128.09,1,0,11,225,60
98,179,8,7891,335,46.15,11079,71.22,24,2,34,936,62,141,139,5,6007,179,44.83,6306,95.26,19,0,27,638,92,99,99,11,2894,100,32.89,2048,141.31,1,0,24,296,105,162,162,22,5881,126,42.01,4180,140.69,4,0,55,578,215
23,40,1,1442,180,36.97,2557,56.39,4,0,7,183,14,6,6,0,146,69,24.33,184,79.35,0,0,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,72,62,36.0,126,57.14,0,0,1,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,14,1,339,104,26.08,570,59.47,1,0,0,33,7,127,116,14,3482,108,34.14,2786,124.98,2,0,23,332,128,98,90,14,2159,145,28.41,1430,150.98,3,0,10,176,106,110,106,15,2319,95,25.48,1507,153.88,0,0,13,197,127
-,-,-,-,-,-,-,-,-,-,-,-,-,57,52,7,1296,146,28.8,1399,92.64,1,0,6,109,44,51,42,15,803,78,29.74,545,147.34,0,0,2,69,35,67,59,18,1070,65,26.1,779,137.36,0,0,4,83,48
4,8,1,164,81,23.43,346,47.4,0,0,2,12,2,16,15,2,117,22,9.0,192,60.94,0,0,0,10,0,24,21,4,355,62,20.88,285,124.56,0,0,2,17,15,62,54,18,1000,74,27.78,788,126.9,0,0,5,87,28
30,51,2,3010,215,61.43,5403,55.71,10,2,13,324,10,27,26,1,804,108,32.16,951,84.54,1,0,6,50,1,1,1,0,2,2,2.0,4,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
30,46,3,1875,175,43.6,3239,57.89,5,0,9,217,6,51,48,3,1823,152,40.51,1904,95.75,3,0,13,190,32,17,16,3,345,48,26.54,259,133.2,0,0,0,22,11,10,10,3,205,75,29.29,148,138.51,0,0,1,12,8
2,3,1,46,35,23.00,55,83.64,0,0,0,6,1,2,2,0,8,6,4.0,16,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
4,7,1,195,98,32.5,351,55.56,0,0,1,24,3,20,16,4,257,46,21.42,298,86.24,0,0,0,25,2,47,28,5,277,29,12.04,273,101.47,0,0,0,19,9,-,-,-,-,-,-,-,-,-,-,-,-,-
16,22,1,732,84,34.86,1526,47.97,0,0,5,67,6,13,11,6,290,89,58.0,321,90.34,0,0,1,22,8,8,8,0,139,61,17.38,80,173.75,0,0,2,17,8,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,7,3,106,41,26.5,62,170.97,0,0,0,8,6,16,13,4,44,15,4.89,44,100.0,0,0,0,1,3
-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,0,105,49,17.5,96,109.38,0,0,0,13,1,9,3,1,17,12,8.5,17,100.0,0,0,0,1,1,3,3,0,22,14,7.33,18,122.22,0,0,0,1,2
12,16,2,462,93,33.0,857,53.91,0,0,3,43,2,62,57,11,1629,106,35.41,1850,88.05,1,0,7,152,13,38,26,5,233,37,11.1,215,108.37,0,0,0,19,7,3,3,1,32,14,16.0,29,110.34,0,0,0,0,1
36,63,9,1613,117,29.87,3203,50.36,4,0,5,175,12,97,83,12,1867,100,26.3,2288,81.6,1,0,11,129,34,75,57,16,1018,80,24.83,771,132.04,0,0,3,81,38,13,13,0,179,35,13.77,171,104.68,0,0,0,23,2
35,57,10,1535,92,32.66,3355,45.75,0,0,9,172,4,35,35,3,890,111,27.81,1257,70.8,1,0,5,96,6,12,9,1,82,25,10.25,77,106.49,0,0,0,7,3,2,2,0,10,8,5.0,26,38.46,0,0,0,0,0
44,61,9,880,63,16.92,2156,40.82,0,0,2,88,18,75,47,15,324,36,10.12,438,73.97,0,0,0,23,5,50,23,11,116,21,9.67,94,123.4,0,0,0,6,6,42,31,11,379,66,18.95,249,152.21,0,0,3,24,26
112,140,42,1247,47,12.72,2468,50.53,0,0,0,157,12,29,14,10,77,30,19.25,83,92.77,0,0,0,7,2,2,1,1,4,4,0.0,4,100.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
73,104,22,1816,99,22.15,2814,64.53,0,0,10,176,44,107,60,22,469,52,12.34,545,86.06,0,0,1,34,12,58,19,9,94,14,9.4,93,101.08,0,0,0,4,2,27,12,5,96,29,13.71,98,97.96,0,0,0,10,0
-,-,-,-,-,-,-,-,-,-,-,-,-,76,35,13,206,36,9.36,332,62.05,0,0,0,17,1,72,16,8,48,13,6.0,58,82.76,0,0,0,4,0,14,2,0,5,5,2.5,8,62.5,0,0,0,1,0
58,70,33,445,39,12.03,990,44.95,0,0,0,62,2,69,23,19,81,23,20.25,104,77.88,0,0,0,8,1,41,7,5,22,13,11.0,14,157.14,0,0,0,2,1,24,5,5,18,7,0.0,26,69.23,0,0,0,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,3,57,19,14.25,48,118.75,0,0,0,5,2,32,15,7,83,20,10.38,76,109.21,0,0,0,5,4,30,13,4,91,25,10.11,76,119.74,0,0,0,6,5
21,25,9,417,47,26.06,971,42.95,0,0,0,44,7,15,8,4,42,13,10.5,80,52.5,0,0,0,2,0,4,2,2,5,5,0.0,3,166.67,0,0,0,1,0,10,2,1,15,11,15.0,13,115.38,0,0,0,2,0
4,5,1,28,15,7.0,54,51.85,0,0,0,3,0,3,1,0,2,2,2.0,2,100.0,0,0,0,0,0,8,5,5,32,14,0.0,23,139.13,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
69,132,2,5082,206,39.09,8751,58.07,10,1,31,651,40,231,229,11,8074,158,37.04,10265,78.66,14,0,55,890,101,78,78,5,1758,103,24.08,1500,117.2,1,0,7,189,45,-,-,-,-,-,-,-,-,-,-,-,-,-
16,30,0,831,149,27.7,1442,57.63,1,0,4,109,9,61,58,3,1768,127,32.15,1816,97.36,2,0,11,203,43,72,72,3,1212,68,17.57,990,122.42,0,0,5,119,46,-,-,-,-,-,-,-,-,-,-,-,-,-
11,22,2,481,66,24.05,875,54.97,0,0,4,56,6,66,59,7,1333,102,25.63,1461,91.24,1,0,6,153,24,48,47,5,977,80,23.26,819,119.29,0,0,4,92,29,-,-,-,-,-,-,-,-,-,-,-,-,-
50,94,6,2914,150,33.11,5456,53.41,5,0,16,338,24,214,186,50,4859,128,35.73,6369,76.29,3,0,27,362,75,121,113,23,2121,64,23.57,1810,117.18,0,0,6,161,64,-,-,-,-,-,-,-,-,-,-,-,-,-
63,116,7,4251,217,39.0,6887,61.72,5,1,29,517,20,223,211,29,6792,134,37.32,8270,82.13,9,0,50,615,46,109,107,10,2243,84,23.12,1841,121.84,0,0,12,225,47,71,52,12,793,66,19.82,637,124.49,0,0,2,73,21
4,8,2,173,75,28.83,375,46.13,0,0,1,13,4,43,35,10,634,52,25.36,762,83.2,0,0,3,58,13,33,31,10,389,48,18.52,341,114.08,0,0,0,26,11,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,29,19,9,362,51,36.2,422,85.78,0,0,2,29,6,34,20,9,200,39,18.18,176,113.64,0,0,0,16,7,-,-,-,-,-,-,-,-,-,-,-,-,-
35,65,7,1089,103,18.78,2306,47.22,1,0,3,122,13,66,41,9,753,100,23.53,953,79.01,1,0,2,66,15,19,17,2,216,46,14.4,186,116.13,0,0,0,17,7,-,-,-,-,-,-,-,-,-,-,-,-,-
82,151,12,5235,219,37.66,11109,47.12,9,3,25,625,31,238,223,36,6804,144,36.39,8633,78.81,8,0,42,535,85,102,93,15,1500,72,19.23,1305,114.94,0,0,6,126,37,-,-,-,-,-,-,-,-,-,-,-,-,-
35,60,0,2112,141,35.2,3694,57.17,3,0,14,265,8,59,59,3,1883,176,33.62,2157,87.3,5,0,7,203,28,65,64,1,1388,69,22.03,1077,128.88,0,0,8,137,43,-,-,-,-,-,-,-,-,-,-,-,-,-
10,18,0,333,67,18.5,752,44.28,0,0,2,32,3,34,30,4,714,73,27.46,921,77.52,0,0,6,61,16,17,13,1,127,47,10.58,136,93.38,0,0,0,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-
36,67,5,797,79,12.85,1186,67.2,0,0,3,95,22,220,158,28,1787,51,13.75,2041,87.56,0,0,1,149,62,54,39,11,377,36,13.46,278,135.61,0,0,0,28,23,1,1,1,2,2,0.0,2,100.0,0,0,0,0,0
27,47,19,265,45,9.46,603,43.95,0,0,0,34,4,104,53,24,144,17,4.97,277,51.99,0,0,0,14,2,28,15,10,20,8,4.0,36,55.56,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
15,22,7,66,16,4.4,162,40.74,0,0,0,3,5,81,35,22,92,18,7.08,166,55.42,0,0,0,11,0,78,24,9,68,15,4.53,89,76.4,0,0,0,3,4,46,8,7,12,8,12.0,22,54.55,0,0,0,0,1
13,22,8,36,8,2.57,157,22.93,0,0,0,4,0,2,-,-,-,-,-,-,-,-,-,-,-,-,3,2,0,3,2,1.5,7,42.86,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
56,102,4,3538,218,36.1,7886,44.86,8,1,17,405,41,122,117,12,3109,124,29.61,4434,70.12,4,0,18,252,75,26,22,3,405,43,21.32,379,106.86,0,0,0,32,14,1,1,1,6,6,0.0,5,120.0,0,0,0,1,0
103,182,11,7215,333,42.19,11970,60.28,15,3,37,1046,98,301,294,16,10480,215,37.7,12019,87.2,25,1,54,1128,331,79,75,7,1899,117,27.93,1381,137.51,2,0,14,158,124,142,141,16,4965,175,39.72,3333,148.96,6,0,31,405,357
-,-,-,-,-,-,-,-,-,-,-,-,-,57,54,3,1847,176,36.22,2226,82.97,4,0,10,185,52,53,52,2,1465,125,29.3,964,151.97,2,0,10,108,111,27,26,2,654,65,27.25,477,137.11,0,0,4,62,36
16,30,0,838,93,27.93,1138,73.64,0,0,5,85,27,47,44,3,1447,139,35.29,1360,106.4,5,0,4,111,52,50,42,4,797,81,20.97,673,118.42,0,0,4,53,41,46,44,17,831,75,30.78,546,152.2,0,0,3,55,52
-,-,-,-,-,-,-,-,-,-,-,-,-,20,16,3,200,51,15.38,203,98.52,0,0,1,18,8,34,24,8,267,34,16.69,195,136.92,0,0,0,15,21,5,4,2,14,8,7.0,19,73.68,0,0,0,1,0
58,102,16,2601,202,30.24,4635,56.12,3,1,11,310,44,131,107,23,2042,99,24.31,2256,90.51,0,0,11,147,64,49,34,9,385,38,15.4,319,120.69,0,0,0,23,21,38,24,5,247,47,13.0,199,124.12,0,0,0,13,17
1,1,0,2,2,2.0,9,22.22,0,0,0,0,0,56,47,9,1034,92,27.21,794,130.23,0,0,4,94,57,67,57,19,741,51,19.5,475,156.0,0,0,1,42,62,98,82,15,2035,88,30.37,1144,177.88,0,0,10,137,175
3,5,1,181,69,45.25,284,63.73,0,0,3,12,7,44,37,3,559,101,16.44,614,91.04,1,0,1,38,24,41,27,6,310,37,14.76,274,113.14,0,0,0,13,22,16,14,1,181,43,13.92,111,163.06,0,0,0,10,16
38,72,3,1726,147,25.01,4124,41.85,2,0,5,199,6,104,99,10,4308,170,48.4,5768,74.69,13,0,21,360,62,19,17,0,304,55,17.88,251,121.12,0,0,2,32,10,-,-,-,-,-,-,-,-,-,-,-,-,-
