name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path
Regis Chakabva,Zimbabwe,"Sep 20, 1987 (35 years)",Harare,WK-Batsman,--,82,--,--,--,--,--,https://www.cricbuzz.com/profiles/781/regis-chakabva,Scores/bat_781.csv,Scores/bow_781.csv
Brendan Taylor,Zimbabwe,"Feb 06, 1986 (36 years)",Harare,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/180/brendan-taylor,Scores/bat_180.csv,Scores/bow_180.csv
Peter Moor,Zimbabwe,"Feb 02, 1991 (31 years)",Harare,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10195/peter-moor,Scores/bat_10195.csv,Scores/bow_10195.csv
Tendai Chatara,Zimbabwe,"Feb 28, 1991 (31 years)",Chimaniamani,Bowler,--,--,--,--,--,83,66,https://www.cricbuzz.com/profiles/6483/tendai-chatara,Scores/bat_6483.csv,Scores/bow_6483.csv
Donald Tiripano,Zimbabwe,"Mar 17, 1988 (34 years)",Mutare,Bowler,--,--,--,--,83,--,--,https://www.cricbuzz.com/profiles/10066/donald-tiripano,Scores/bat_10066.csv,Scores/bow_10066.csv
Chris Mpofu,Zimbabwe,"Nov 27, 1985 (37 years)","Plumtree, Matabeleland",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/428/chris-mpofu,Scores/bat_428.csv,Scores/bow_428.csv
Kyle Jarvis,Zimbabwe,"Feb 16, 1989 (33 years)",Harare,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/2289/kyle-jarvis,Scores/bat_2289.csv,Scores/bow_2289.csv
Brandon Mavuta,Zimbabwe,"Mar 04, 1997 (25 years)",Kadoma,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11224/brandon-mavuta,Scores/bat_11224.csv,Scores/bow_11224.csv
Kila Pala,Papua New Guinea,"May 16, 1985 (37 years)","Port Moresby, Papua New Guinea",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10113/kila-pala,Scores/bat_10113.csv,Scores/bow_10113.csv
Charles Amini,Papua New Guinea,"Apr 14, 1992 (30 years)",Port Moresby,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10428/charles-amini,Scores/bat_10428.csv,Scores/bow_10428.csv
Mahuru Dai,Papua New Guinea,"May 30, 1984 (38 years)",Port Moresby,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10191/mahuru-dai,Scores/bat_10191.csv,Scores/bow_10191.csv
Vani Morea,Papua New Guinea,"Mar 13, 1983 (39 years)","Port Moresby, Papua New Guinea",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10118/vani-morea,Scores/bat_10118.csv,Scores/bow_10118.csv
Lega Siaka,Papua New Guinea,"Dec 21, 1992 (29 years)",Port Moresby,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8467/lega-siaka,Scores/bat_8467.csv,Scores/bow_8467.csv
Assad Vala,Papua New Guinea,"Aug 05, 1987 (35 years)",Papua New Guinea,Batting Allrounder,--,--,44,--,--,79,--,https://www.cricbuzz.com/profiles/10120/assad-vala,Scores/bat_10120.csv,Scores/bow_10120.csv
Assad Vala,Papua New Guinea,"Aug 05, 1987 (35 years)",Papua New Guinea,Batting Allrounder,--,--,44,--,--,79,--,https://www.cricbuzz.com/profiles/10120/assad-vala,Scores/bat_10120.csv,Scores/bow_10120.csv
Chris Amini,Papua New Guinea,"Jun 12, 1984 (38 years)",Port Moresby,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10116/chris-amini,Scores/bat_10116.csv,Scores/bow_10116.csv
Sese Bau,Papua New Guinea,"Jun 23, 1992 (30 years)",--,Bowling Allrounder,--,--,--,90,--,--,--,https://www.cricbuzz.com/profiles/8470/sese-bau,Scores/bat_8470.csv,Scores/bow_8470.csv
Willie Gavera,Papua New Guinea,"Aug 18, 1988 (34 years)",Papua New Guinea,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10111/willie-gavera,Scores/bat_10111.csv,Scores/bow_10111.csv
Pipi Raho,Papua New Guinea,"Mar 04, 1988 (34 years)",Port Morseby,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10119/pipi-raho,Scores/bat_10119.csv,Scores/bow_10119.csv
John Reva,Papua New Guinea,"Sep 23, 1990 (32 years)",Port Moresby,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10114/john-reva,Scores/bat_10114.csv,Scores/bow_10114.csv
Norman Vanua,Papua New Guinea,"Dec 02, 1993 (29 years)",--,Bowling Allrounder,--,--,--,100,--,--,--,https://www.cricbuzz.com/profiles/8480/norman-vanua,Scores/bat_8480.csv,Scores/bow_8480.csv
Dogodo Bau,Papua New Guinea,"Dec 05, 1994 (28 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8469/dogodo-bau,Scores/bat_8469.csv,Scores/bow_8469.csv
Geraint Jones,Papua New Guinea,"Jul 14, 1976 (46 years)","Kundiawa, Papua New Guinea",WK-Batsman,5 ft 10 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/165/geraint-jones,Scores/bat_165.csv,Scores/bow_165.csv
Tony Ura,Papua New Guinea,"Oct 15, 1989 (33 years)",Papua New Guinea,WK-Batsman,--,--,--,41,--,--,--,https://www.cricbuzz.com/profiles/10115/tony-ura,Scores/bat_10115.csv,Scores/bow_10115.csv
Jack Vare,Papua New Guinea,"Feb 14, 1986 (36 years)",Papua New Guinea,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10121/jack-vare,Scores/bat_10121.csv,Scores/bow_10121.csv
Hiri Hiri,Papua New Guinea,"May 01, 1995 (27 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9906/hiri-hiri,Scores/bat_9906.csv,Scores/bow_9906.csv
Loa Nou,Papua New Guinea,"Dec 31, 1987 (34 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10425/loa-nou,Scores/bat_10425.csv,Scores/bow_10425.csv
Nosaina Pokana,Papua New Guinea,"Apr 12, 1996 (26 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9910/nosaina-pokana,Scores/bat_9910.csv,Scores/bow_9910.csv
Chad Soper,Papua New Guinea,"Nov 19, 1991 (31 years)",Port Moresby,Bowler,--,--,--,--,--,55,--,https://www.cricbuzz.com/profiles/8477/chad-soper,Scores/bat_8477.csv,Scores/bow_8477.csv
Jatinder Singh,Oman,"Mar 05, 1989 (33 years)",--,Batsman,--,--,64,73,--,--,--,https://www.cricbuzz.com/profiles/10453/jatinder-singh,Scores/bat_10453.csv,Scores/bow_10453.csv
Arun Poulose,Oman,"Jul 22, 1986 (36 years)","Aluva, Ernakulam, Kerala",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10454/arun-poulose,Scores/bat_10454.csv,Scores/bow_10454.csv
Vaibhav Wategaonkar,Oman,"Aug 30, 1982 (40 years)","Mumbai, India",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10455/vaibhav-wategaonkar,Scores/bat_10455.csv,Scores/bow_10455.csv
Zeeshan Siddiqui,Oman,"Jul 22, 1979 (43 years)","Karachi, Sind, Pakistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10456/zeeshan-siddiqui,Scores/bat_10456.csv,Scores/bow_10456.csv
Zeeshan Maqsood,Oman,"Oct 24, 1987 (35 years)",--,Batting Allrounder,--,--,62,75,--,50,--,https://www.cricbuzz.com/profiles/10466/zeeshan-maqsood,Scores/bat_10466.csv,Scores/bow_10466.csv
Amir Ali,Oman,"Nov 24, 1978 (44 years)","Karachi, Sind",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10452/amir-ali,Scores/bat_10452.csv,Scores/bow_10452.csv
Khawar Ali,Oman,"Dec 20, 1985 (36 years)",Pakistan,Batting Allrounder,--,--,--,--,--,96,96,https://www.cricbuzz.com/profiles/10467/khawar-ali,Scores/bat_10467.csv,Scores/bow_10467.csv
Mehran Khan,Oman,"Apr 13, 1987 (35 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10464/mehran-khan,Scores/bat_10464.csv,Scores/bow_10464.csv
Ajay Lalcheta,Oman,"Oct 22, 1983 (39 years)","Gujarat, India",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10458/ajay-lalcheta,Scores/bat_10458.csv,Scores/bow_10458.csv
Sufyan Mehmood,Oman,"Oct 21, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10461/sufyan-mehmood,Scores/bat_10461.csv,Scores/bow_10461.csv
Rajeshkumar Ranpura,Oman,"Jul 17, 1983 (39 years)","Palanpur, Gujarat, India",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10460/rajeshkumar-ranpura,Scores/bat_10460.csv,Scores/bow_10460.csv
Munis Ansari,Oman,"Apr 01, 1984 (38 years)","Sehore, Madhya Pradesh, India",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10457/munis-ansari,Scores/bat_10457.csv,Scores/bow_10457.csv
Mohammad Nadeem,Oman,"Sep 04, 1982 (40 years)","Sialkot, Pakistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10459/mohammad-nadeem,Scores/bat_10459.csv,Scores/bow_10459.csv
Trevin Bastiampillai,Canada,"Oct 26, 1985 (37 years)",Sri Lanka,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/815/trevin-bastiampillai,Scores/bat_815.csv,Scores/bow_815.csv
Tyson Gordon,Canada,"Jan 31, 1982 (40 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7852/tyson-gordon,Scores/bat_7852.csv,Scores/bow_7852.csv
Ruvindu Gunasekera,Canada,"Jul 20, 1991 (31 years)",Colombo,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1422/ruvindu-gunasekera,Scores/bat_1422.csv,Scores/bow_1422.csv
Jimmy Hansra,Canada,"Dec 29, 1984 (37 years)","Ludhiana, India",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7676/jimmy-hansra,Scores/bat_7676.csv,Scores/bow_7676.csv
Junaid Siddique,Canada,"Oct 30, 1987 (35 years)",Rajshahi,Batsman,--,--,--,--,--,--,97,https://www.cricbuzz.com/profiles/784/junaid-siddique,Scores/bat_784.csv,Scores/bow_784.csv
Nitish Kumar,Canada,"May 21, 1994 (28 years)","Scarborough, Ontario",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6474/nitish-kumar,Scores/bat_6474.csv,Scores/bow_6474.csv
Hiral Patel,Canada,"Aug 10, 1991 (31 years)","Ahmedabad, Gujarat, India",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3289/hiral-patel,Scores/bat_3289.csv,Scores/bow_3289.csv
Rizwan Cheema,Canada,"Aug 15, 1978 (44 years)",Pakistan,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1426/rizwan-cheema,Scores/bat_1426.csv,Scores/bow_1426.csv
Durand Soraine,Canada,"Sep 11, 1983 (39 years)",India,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/823/durand-soraine,Scores/bat_823.csv,Scores/bow_823.csv
Zubin Surkari,Canada,"Feb 26, 1980 (42 years)","Toronto, Ontario",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1432/zubin-surkari,Scores/bat_1432.csv,Scores/bow_1432.csv
Usman Limbada,Canada,"Oct 02, 1989 (33 years)",canada,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6475/usman-limbada,Scores/bat_6475.csv,Scores/bow_6475.csv
Harvir Baidwan,Canada,"Jul 31, 1987 (35 years)","Chandigarh, India",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1419/harvir-baidwan,Scores/bat_1419.csv,Scores/bow_1419.csv
Damodar Daesrat,Canada,"Jul 04, 1981 (41 years)","Cumberland, Berbice, Guyana",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8377/damodar-daesrat,Scores/bat_8377.csv,Scores/bow_8377.csv
Raza-ur-Rehman,Canada,"Nov 05, 1985 (37 years)",Bulawayo,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8256/raza-ur-rehman,Scores/bat_8256.csv,Scores/bow_8256.csv
Ashish Bagai,Canada,"Jan 26, 1982 (40 years)","Delhi, India",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/676/ashish-bagai,Scores/bat_676.csv,Scores/bow_676.csv
R A Bhatti,Canada,"Feb 18, 1990 (32 years)",Lahore,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8033/r-a-bhatti,Scores/bat_8033.csv,Scores/bow_8033.csv
Hamza Tariq,Canada,"Jul 21, 1990 (32 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7675/hamza-tariq,Scores/bat_7675.csv,Scores/bow_7675.csv
Darren Ramsammy,Canada,"Jun 23, 1992 (30 years)","Scarborough, Ontario",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8379/darren-ramsammy,Scores/bat_8379.csv,Scores/bow_8379.csv
Zeeshan Siddiqi,Canada,"Oct 26, 1976 (46 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8027/zeeshan-siddiqi,Scores/bat_8027.csv,Scores/bow_8027.csv
Manny Aulakh,Canada,"Nov 17, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8100/manny-aulakh,Scores/bat_8100.csv,Scores/bow_8100.csv
Abzal Dean,Canada,"Feb 23, 1983 (39 years)","San Fernando, Trinidad",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1478/abzal-dean,Scores/bat_1478.csv,Scores/bow_1478.csv
Parth Desai,Canada,"Dec 11, 1990 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7674/parth-desai,Scores/bat_7674.csv,Scores/bow_7674.csv
Nikhil Dutta,Canada,"Oct 13, 1994 (28 years)","Kuwait City, Kuwait",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9230/nikhil-dutta,Scores/bat_9230.csv,Scores/bow_9230.csv
Jeremy Gordon,Canada,"Jan 20, 1987 (35 years)","Stanley Town, New Amsterdam, Guyana",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8378/jeremy-gordon,Scores/bat_8378.csv,Scores/bow_8378.csv
Kenneth Kamyuka,Canada,"Dec 05, 1981 (41 years)","Jinga, Uganda",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9549/kenneth-kamyuka,Scores/bat_9549.csv,Scores/bow_9549.csv
Khurram Chohan,Canada,"Feb 22, 1980 (42 years)","Lahore, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3285/khurram-chohan,Scores/bat_3285.csv,Scores/bow_3285.csv
Henry Osinde,Canada,"Oct 17, 1978 (44 years)",Uganda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/686/henry-osinde,Scores/bat_686.csv,Scores/bow_686.csv
Rayyan Pathan,Canada,"Dec 06, 1991 (31 years)","Toronto, Ontario",Bowler,--,--,--,74,--,--,--,https://www.cricbuzz.com/profiles/9229/rayyan-pathan,Scores/bat_9229.csv,Scores/bow_9229.csv
John Davison,Canada,"May 09, 1970 (52 years)","Campbell River, Vancouver Island, British Columbia",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/675/john-davison,Scores/bat_675.csv,Scores/bow_675.csv
Zahid Hussain,Canada,"Dec 18, 1974 (47 years)",--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8026/zahid-hussain,Scores/bat_8026.csv,Scores/bow_8026.csv
Babar Hayat,Hong Kong,"Jan 05, 1992 (30 years)","Attock, Pakistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9979/babar-hayat,Scores/bat_9979.csv,Scores/bow_9979.csv
Waqas Khan,Hong Kong,"Mar 10, 1999 (23 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10208/waqas-khan,Scores/bat_10208.csv,Scores/bow_10208.csv
Kinchit Shah,Hong Kong,"Dec 09, 1995 (27 years)",Mumbai,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9981/kinchit-shah,Scores/bat_9981.csv,Scores/bow_9981.csv
Aizaz Khan,Hong Kong,"Mar 21, 1993 (29 years)",Hong Kong,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9975/aizaz-khan,Scores/bat_9975.csv,Scores/bow_9975.csv
Nizakat Khan,Hong Kong,"Jul 08, 1992 (30 years)","Attock, Punjab, Pakistan",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9980/nizakat-khan,Scores/bat_9980.csv,Scores/bow_9980.csv
Tanwir Afzal,Hong Kong,"Jun 12, 1988 (34 years)","Gujrat, Punjab",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9982/tanwir-afzal,Scores/bat_9982.csv,Scores/bow_9982.csv
Anshuman Rath,Hong Kong,"Nov 05, 1997 (25 years)",Hong Kong,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10035/anshuman-rath,Scores/bat_10035.csv,Scores/bow_10035.csv
Jamie Atkinson,Hong Kong,"Aug 23, 1990 (32 years)",Hong Kong,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1378/jamie-atkinson,Scores/bat_1378.csv,Scores/bow_1378.csv
Christopher Carter,Hong Kong,"Sep 09, 1997 (25 years)",Hong Kong,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10793/christopher-carter,Scores/bat_10793.csv,Scores/bow_10793.csv
Shahid Wasif,Hong Kong,"May 15, 1997 (25 years)",Pakistan,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11479/shahid-wasif,Scores/bat_11479.csv,Scores/bow_11479.csv
Ehsan Khan,Hong Kong,"Dec 27, 1984 (37 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11485/ehsan-khan,Scores/bat_11485.csv,Scores/bow_11485.csv
Nadeem Ahmed,Hong Kong,"Sep 28, 1987 (35 years)",Bahawalpur,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1385/nadeem-ahmed,Scores/bat_1385.csv,Scores/bow_1385.csv
Tanveer Ahmed,Hong Kong,"Sep 18, 1997 (25 years)",Pakistan,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11342/tanveer-ahmed,Scores/bat_11342.csv,Scores/bow_11342.csv
Aijaz Ali,United States,"Jun 20, 1968 (54 years)","Karachi, Pakistan",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3374/aijaz-ali,Scores/bat_3374.csv,Scores/bow_3374.csv
Rohan Alexander,United States,"Feb 20, 1973 (49 years)",Jamaica. W.I.,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3375/rohan-alexander,Scores/bat_3375.csv,Scores/bow_3375.csv
Donovan Blake,United States,"Dec 04, 1961 (61 years)","Jamaica, W.I.",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3385/donovan-blake,Scores/bat_3385.csv,Scores/bow_3385.csv
Jignesh Desai,United States,"Apr 18, 1974 (48 years)",USA,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3376/jignesh-desai,Scores/bat_3376.csv,Scores/bow_3376.csv
Howard Johnson,United States,"Aug 16, 1964 (58 years)","Jamaica, W.I.",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3377/howard-johnson,Scores/bat_3377.csv,Scores/bow_3377.csv
Mark Johnson,United States,"Oct 28, 1963 (59 years)",Jamaica,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3378/mark-johnson,Scores/bat_3378.csv,Scores/bow_3378.csv
Clayton Lambert,United States,"Feb 10, 1962 (60 years)","Islington, West Bank, Berbice, British Guiana",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3379/clayton-lambert,Scores/bat_3379.csv,Scores/bow_3379.csv
Steve Massiah,United States,"Jun 21, 1979 (43 years)","Georgetown, Guyana",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3380/steve-massiah,Scores/bat_3380.csv,Scores/bow_3380.csv
Nasir Javed,United States,"Jun 21, 1966 (56 years)","Lahore, Punjab",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3386/nasir-javed,Scores/bat_3386.csv,Scores/bow_3386.csv
Rashid,United States,"Apr 06, 1974 (48 years)","Gujranwala, Pakistan",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3381/rashid,Scores/bat_3381.csv,Scores/bow_3381.csv
Tony Reid,United States,"Apr 09, 1962 (60 years)","Barbados, West Indies",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3382/tony-reid,Scores/bat_3382.csv,Scores/bow_3382.csv
Leon Romero,United States,"Dec 29, 1974 (47 years)","New York, U.S.A.",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3383/leon-romero,Scores/bat_3383.csv,Scores/bow_3383.csv
Richard Staple,United States,"Nov 25, 1969 (53 years)","Kingston, Jamaica",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3384/richard-staple,Scores/bat_3384.csv,Scores/bow_3384.csv
Tom Cooper,Netherlands,"Nov 26, 1986 (36 years)","Wollongong, New South Wales",Batsman,1.87 m,--,75,--,--,--,--,https://www.cricbuzz.com/profiles/6708/tom-cooper,Scores/bat_6708.csv,Scores/bow_6708.csv
Tom de Grooth,Netherlands,"May 14, 1979 (43 years)",The Hague,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1409/tom-de-grooth,Scores/bat_1409.csv,Scores/bow_1409.csv
Wilfred Diepeveen,Netherlands,"Jun 18, 1985 (37 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7609/wilfred-diepeveen,Scores/bat_7609.csv,Scores/bow_7609.csv
Tim Gruijters,Netherlands,"Aug 28, 1991 (31 years)",The Hague,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6477/tim-gruijters,Scores/bat_6477.csv,Scores/bow_6477.csv
Alexei Kervezee,Netherlands,"Sep 11, 1989 (33 years)","Walvis Bay, Republic of South Africa",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/634/alexei-kervezee,Scores/bat_634.csv,Scores/bow_634.csv
Neil Kruger,Netherlands,"Aug 15, 1981 (41 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7960/neil-kruger,Scores/bat_7960.csv,Scores/bow_7960.csv
Stephan Myburgh,Netherlands,"Feb 28, 1984 (38 years)","Pretoria, Transvaal",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8073/stephan-myburgh,Scores/bat_8073.csv,Scores/bow_8073.csv
Sikander Zulfiqar,Netherlands,"Mar 28, 1997 (25 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11330/sikander-zulfiqar,Scores/bat_11330.csv,Scores/bow_11330.csv
Michael Swart,Netherlands,"Oct 01, 1982 (40 years)","Subiaco, Perth, Western Australia",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7962/michael-swart,Scores/bat_7962.csv,Scores/bow_7962.csv
Peter Borren,Netherlands,"Aug 21, 1983 (39 years)","Christchurch, Canterbury",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/631/peter-borren,Scores/bat_631.csv,Scores/bow_631.csv
Max ODowd,Netherlands,"Mar 04, 1994 (28 years)",Auckland,Batting Allrounder,--,--,91,42,--,--,--,https://www.cricbuzz.com/profiles/10424/max-odowd,Scores/bat_10424.csv,Scores/bow_10424.csv
Vinoo Tewarie,Netherlands,"Sep 15, 1991 (31 years)",--,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7969/vinoo-tewarie,Scores/bat_7969.csv,Scores/bow_7969.csv
