name,team,height,date_of_birth,birth_place,role,teams,bat_test,bat_odi,bat_t20,bow_test,bow_odi,bow_t20
Junaid Siddique,Canada,--,"Oct 30, 1987 (35 years)",Rajshahi,Batsman,"Bangladesh, Duronto Rajshahi, Rangpur Riders, Bangladesh A, Sylhet Super Stars, Rajshahi Kings, Khulna Titans, Chattogram Challengers",--,--,--,--,--,97
Nitish Kumar,Canada,--,"May 21, 1994 (28 years)","Scarborough, Ontario",Batsman,"Canada, Canada U19, Saint Lucia Kings, Toronto Nationals, Brampton Wolves",--,--,--,--,--,--
Hiral Patel,Canada,--,"Aug 10, 1991 (31 years)","Ahmedabad, Gujarat, India",Batsman,"Canada, Winnipeg Hawks",--,--,--,--,--,--
Rizwan Cheema,Canada,--,"Aug 15, 1978 (44 years)",Pakistan,Batsman,"Canada, Duronto Rajshahi, Capricorn Commanders, Winnipeg Hawks, Vancouver Knights",--,--,--,--,--,--
Durand Soraine,Canada,--,"Sep 11, 1983 (39 years)",India,Batsman,Canada,--,--,--,--,--,--
Zubin Surkari,Canada,--,"Feb 26, 1980 (42 years)","Toronto, Ontario",Batsman,Canada,--,--,--,--,--,--
Usman Limbada,Canada,--,"Oct 02, 1989 (33 years)",canada,Batsman,Canada,--,--,--,--,--,--
Harvir Baidwan,Canada,--,"Jul 31, 1987 (35 years)","Chandigarh, India",Batting Allrounder,Canada,--,--,--,--,--,--
Damodar Daesrat,Canada,--,"Jul 04, 1981 (41 years)","Cumberland, Berbice, Guyana",Batting Allrounder,Canada,--,--,--,--,--,--
Raza-ur-Rehman,Canada,--,"Nov 05, 1985 (37 years)",Bulawayo,Batting Allrounder,Canada,--,--,--,--,--,--
Ashish Bagai,Canada,--,"Jan 26, 1982 (40 years)","Delhi, India",WK-Batsman,"Canada, Gemini Arabians, Kandahar Knights",--,--,--,--,--,--
R A Bhatti,Canada,--,"Feb 18, 1990 (32 years)",Lahore,WK-Batsman,Canada,--,--,--,--,--,--
Hamza Tariq,Canada,--,"Jul 21, 1990 (32 years)",--,WK-Batsman,"Canada, Trinbago Knight Riders, Winnipeg Hawks",--,--,--,--,--,--
Darren Ramsammy,Canada,--,"Jun 23, 1992 (30 years)","Scarborough, Ontario",WK-Batsman,Canada,--,--,--,--,--,--
Manny Aulakh,Canada,--,"Nov 17, 1991 (31 years)",--,Bowler,Canada,--,--,--,--,--,--
Abzal Dean,Canada,--,"Feb 23, 1983 (39 years)","San Fernando, Trinidad",Bowler,Canada,--,--,--,--,--,--
Parth Desai,Canada,--,"Dec 11, 1990 (31 years)",--,Bowler,Canada,--,--,--,--,--,--
Nikhil Dutta,Canada,--,"Oct 13, 1994 (28 years)","Kuwait City, Kuwait",Bowler,"Canada, Canada U19, St Kitts and Nevis Patriots, Barisal Bulls, Toronto Nationals, Montreal Tigers",--,--,--,--,--,--
Jeremy Gordon,Canada,--,"Jan 20, 1987 (35 years)","Stanley Town, New Amsterdam, Guyana",Bowler,"Canada, Vancouver Knights, Toronto Nationals",--,--,--,--,--,--
Kenneth Kamyuka,Canada,--,"Dec 05, 1981 (40 years)","Jinga, Uganda",Bowler,Canada,--,--,--,--,--,--
Khurram Chohan,Canada,--,"Feb 22, 1980 (42 years)","Lahore, Punjab",Bowler,"Canada, Pakistan U19",--,--,--,--,--,--
Henry Osinde,Canada,--,"Oct 17, 1978 (44 years)",Uganda,Bowler,Canada,--,--,--,--,--,--
Rayyan Pathan,Canada,--,"Dec 06, 1991 (30 years)","Toronto, Ontario",Bowler,"Canada, Montreal Tigers, Vancouver Knights",--,--,74,--,--,--
John Davison,Canada,--,"May 09, 1970 (52 years)","Campbell River, Vancouver Island, British Columbia",--,"Canada, Victoria",--,--,--,--,--,--
Zahid Hussain,Canada,--,"Dec 18, 1974 (47 years)",--,--,Canada,--,--,--,--,--,--
Babar Hayat,Hong Kong,--,"Jan 05, 1992 (30 years)","Attock, Pakistan",Batsman,"Hong Kong, Kowloon Cantons, Vancouver Knights, Brampton Wolves, Falcon Hunters",--,--,--,--,--,--
Waqas Khan,Hong Kong,--,"Mar 10, 1999 (23 years)",--,Batsman,"Hong Kong, Lantau Galaxy Riders, Kowloon Cantons",--,--,--,--,--,--
Kinchit Shah,Hong Kong,--,"Dec 09, 1995 (26 years)",Mumbai,Batting Allrounder,"Hong Kong, Hung Hom JD Jaguars",--,--,--,--,--,--
Aizaz Khan,Hong Kong,--,"Mar 21, 1993 (29 years)",Hong Kong,Bowling Allrounder,"Hong Kong, United Arab Emirates, City Kaitak",--,--,--,--,--,--
Nizakat Khan,Hong Kong,--,"Jul 08, 1992 (30 years)","Attock, Punjab, Pakistan",Bowling Allrounder,"Hong Kong, Hung Hom JD Jaguars, Toronto Nationals, Montreal Tigers",--,--,--,--,--,--
Tanwir Afzal,Hong Kong,--,"Jun 12, 1988 (34 years)","Gujrat, Punjab",Bowling Allrounder,"Hong Kong, Island Warriors, HKI United, Hong Kong Island United",--,--,--,--,--,--
Anshuman Rath,Hong Kong,--,"Nov 05, 1997 (25 years)",Hong Kong,WK-Batsman,"Hong Kong, Galaxy Gladiators Lantau, City Kaitak, Edmonton Royals, Odisha",--,--,--,--,--,--
Jamie Atkinson,Hong Kong,--,"Aug 23, 1990 (32 years)",Hong Kong,WK-Batsman,"Warwickshire, Hong Kong, Hung Hom JD Jaguars, Island Warriors, HKI United, City Kaitak",--,--,--,--,--,--
Christopher Carter,Hong Kong,--,"Sep 09, 1997 (25 years)",Hong Kong,WK-Batsman,"Hong Kong, Hung Hom JD Jaguars, Hong Kong Island United",--,--,--,--,--,--
Shahid Wasif,Hong Kong,--,"May 15, 1997 (25 years)",Pakistan,WK-Batsman,"Kowloon Cantons, Hong Kong, Galaxy Gladiators Lantau",--,--,--,--,--,--
Ehsan Khan,Hong Kong,--,"Dec 27, 1984 (37 years)",--,Bowler,"Island Warriors, Hong Kong, HKI United, Hong Kong Island United",--,--,--,--,--,--
Nadeem Ahmed,Hong Kong,--,"Sep 28, 1987 (35 years)",Bahawalpur,Bowler,"Hong Kong, Island Warriors, City Kaitak, Hung Hom JD Jaguars",--,--,--,--,--,--
Tanveer Ahmed,Hong Kong,--,"Sep 18, 1997 (25 years)",Pakistan,Bowler,"Hong Kong, Kowloon Cantons, Hung Hom JD Jaguars",--,--,--,--,--,--
Aijaz Ali,United States,--,"Jun 20, 1968 (54 years)","Karachi, Pakistan",--,United States,--,--,--,--,--,--
Rohan Alexander,United States,--,"Feb 20, 1973 (49 years)",Jamaica. W.I.,--,United States,--,--,--,--,--,--
Donovan Blake,United States,--,"Dec 04, 1961 (61 years)","Jamaica, W.I.",--,United States,--,--,--,--,--,--
Jignesh Desai,United States,--,"Apr 18, 1974 (48 years)",USA,--,United States,--,--,--,--,--,--
Howard Johnson,United States,--,"Aug 16, 1964 (58 years)","Jamaica, W.I.",--,United States,--,--,--,--,--,--
Mark Johnson,United States,--,"Oct 28, 1963 (59 years)",Jamaica,--,United States,--,--,--,--,--,--
Clayton Lambert,United States,--,"Feb 10, 1962 (60 years)","Islington, West Bank, Berbice, British Guiana",--,"West Indies, United States",--,--,--,--,--,--
Steve Massiah,United States,--,"Jun 21, 1979 (43 years)","Georgetown, Guyana",--,United States,--,--,--,--,--,--
Nasir Javed,United States,--,"Jun 21, 1966 (56 years)","Lahore, Punjab",--,United States,--,--,--,--,--,--
Rashid,United States,--,"Apr 06, 1974 (48 years)","Gujranwala, Pakistan",--,United States,--,--,--,--,--,--
Tony Reid,United States,--,"Apr 09, 1962 (60 years)","Barbados, West Indies",--,United States,--,--,--,--,--,--
Leon Romero,United States,--,"Dec 29, 1974 (47 years)","New York, U.S.A.",--,United States,--,--,--,--,--,--
Richard Staple,United States,--,"Nov 25, 1969 (53 years)","Kingston, Jamaica",--,United States,--,--,--,--,--,--
Tom Cooper,Netherlands,1.87 m,"Nov 26, 1986 (36 years)","Wollongong, New South Wales",Batsman,"Netherlands, South Australia, Cricket Australia Chairmans XI, Adelaide Strikers, Chittagong Kings, Melbourne Renegades, Australia A, Somerset, St Kitts and Nevis Patriots, Brisbane Heat",--,74,--,--,--,--
Tom de Grooth,Netherlands,--,"May 14, 1979 (43 years)",The Hague,Batsman,Netherlands,--,--,--,--,--,--
Wilfred Diepeveen,Netherlands,--,"Jun 18, 1985 (37 years)",--,Batsman,Netherlands,--,--,--,--,--,--
Tim Gruijters,Netherlands,--,"Aug 28, 1991 (31 years)",The Hague,Batsman,Netherlands,--,--,--,--,--,--
Alexei Kervezee,Netherlands,--,"Sep 11, 1989 (33 years)","Walvis Bay, Republic of South Africa",Batsman,"Netherlands, Worcestershire, Dhaka Gladiators",--,--,--,--,--,--
Neil Kruger,Netherlands,--,"Aug 15, 1981 (41 years)",--,Batsman,Netherlands,--,--,--,--,--,--
Stephan Myburgh,Netherlands,--,"Feb 28, 1984 (38 years)","Pretoria, Transvaal",Batsman,"Netherlands, Pretoria Mavericks, Rotterdam Rhinos",--,--,--,--,--,--
Sikander Zulfiqar,Netherlands,--,"Mar 28, 1997 (25 years)",--,Batsman,"Netherlands, Amsterdam Knights",--,--,--,--,--,--
Michael Swart,Netherlands,--,"Oct 01, 1982 (40 years)","Subiaco, Perth, Western Australia",Batsman,"Netherlands, Island Warriors",--,--,--,--,--,--
Peter Borren,Netherlands,--,"Aug 21, 1983 (39 years)","Christchurch, Canterbury",Batting Allrounder,"Netherlands, New Zealand U19",--,--,--,--,--,--
Max ODowd,Netherlands,--,"Mar 04, 1994 (28 years)",Auckland,Batting Allrounder,"Netherlands, Rotterdam Rhinos",--,93,42,--,--,--
Vinoo Tewarie,Netherlands,--,"Sep 15, 1991 (31 years)",--,Batting Allrounder,Netherlands,--,--,--,--,--,--
Daan van Bunge,Netherlands,--,"Oct 19, 1982 (40 years)","Leidschendam, Voorburg",Batting Allrounder,Netherlands,--,--,--,--,--,--
Ben Cooper,Netherlands,--,"Feb 10, 1992 (30 years)","Lismore, New South Wales",Bowling Allrounder,"Australia, Netherlands, Amsterdam Knights",--,--,81,--,--,--
Tom Heggelman,Netherlands,--,"Jan 16, 1987 (35 years)",--,Bowling Allrounder,Netherlands,--,--,--,--,--,--
Michael Rippon,Netherlands,--,"Sep 14, 1991 (31 years)","Cape Town, Cape Province",Bowling Allrounder,"Cape Cobras, Sussex, Netherlands, Otago, Vancouver Knights, New Zealand A, New Zealand",--,--,--,--,--,--
Pieter Seelaar,Netherlands,--,"Jul 02, 1987 (35 years)",Schiedam,Bowling Allrounder,"Netherlands, Rotterdam Rhinos",--,--,--,--,--,--
Timm van der Gugten,Netherlands,1.87 m,"Feb 25, 1991 (31 years)","Hornsby, Upper North Shore, Sydney",Bowling Allrounder,"Australia, New South Wales, Netherlands, Tasmania, Hobart Hurricanes, Northern Knights, Glamorgan, Trent Rockets, Birmingham Phoenix",--,--,--,--,--,--
Roelof van der Merwe,Netherlands,--,"Dec 31, 1984 (37 years)","Johannesburg, Transvaal",Bowling Allrounder,"South Africa, Royal Challengers Bangalore, South Africa U19, Titans, Delhi Capitals, Somerset, Brisbane Heat, South Africa A, Saint Lucia Kings, Netherlands, Joburg Giants, Hung Hom JD Jaguars, Maratha Arabians, Amsterdam Knights, Tshwane Spartans, London Spirit, Northern Superchargers, Sunrisers Eastern Cape",--,--,--,--,--,--
Rahil Ahmed,Netherlands,1.71 m,"Jan 03, 1994 (28 years)",Amsterdam,WK-Batsman,Netherlands,--,--,--,--,--,--
Wesley Barresi,Netherlands,--,"May 03, 1984 (38 years)",Johannesburg,WK-Batsman,"Netherlands, Amsterdam Knights",--,--,--,--,--,--
Tobias Visee,Netherlands,--,"Jan 21, 1991 (31 years)",The Hague,WK-Batsman,"Netherlands, Vancouver Knights, Amsterdam Knights, Delhi Bulls",--,--,--,--,--,--
Ahsan Malik,Netherlands,--,"Aug 29, 1989 (33 years)",Rotterdam,Bowler,Netherlands,--,--,--,--,--,--
Mudassar Bukhari,Netherlands,--,"Dec 26, 1983 (38 years)","Gujrat, Punjab, Pakistan",Bowler,Netherlands,--,--,--,--,--,--
Vivian Kingma,Netherlands,--,"Oct 23, 1994 (28 years)","The Hague, Netherlands",Bowler,"Netherlands, Rotterdam Rhinos",--,--,--,--,--,--
Logan van Beek,Netherlands,--,"Sep 07, 1990 (32 years)","Christchurch, Canterbury",Bowler,"Netherlands, Canterbury, Wellington, New Zealand A, New Zealand XI, Derbyshire",--,--,--,--,--,--
Paul van Meekeren,Netherlands,--,"Jan 15, 1993 (29 years)","Amsterdam, Netherlands",Bowler,"Netherlands, Somerset, Kowloon Cantons, Winnipeg Hawks, Amsterdam Knights, Durham, St Kitts and Nevis Patriots, Gloucestershire, Dambulla Giants",--,--,--,--,--,67
Thijs van Schelven,Netherlands,--,"Apr 03, 1989 (33 years)",The Hague,Bowler,Netherlands,--,--,--,--,--,--
Edgar Schiferli,Netherlands,--,"May 17, 1976 (46 years)",--,--,Netherlands,--,--,--,--,--,--
Eric Gouka,Netherlands,--,"Jan 29, 1970 (52 years)",Schiedam,--,Netherlands,--,--,--,--,--,--
Asghar Afghan,Afghanistan,--,"Dec 22, 1987 (34 years)","Kabul, Afghanistan",Batsman,"Afghanistan, Kandahar Knights, Asia Lions, World Giants, India Capitals",--,--,--,--,--,--
Hashmatullah Shahidi,Afghanistan,--,"Nov 04, 1994 (28 years)",Logar,Batsman,"Afghanistan, Afghanistan U19, Nangarhar Leopards",89,49,--,--,--,--
Hazratullah Zazai,Afghanistan,--,"Mar 23, 1998 (24 years)",Paktia,Batsman,"Afghanistan, Kabul Zwanan, Dhaka Dynamites, Maratha Arabians, Rajshahi Royals, Galle Gladiators, Peshawar Zalmi, Bangla Tigers, Dubai Capitals",--,--,27,--,--,--
Najibullah Zadran,Afghanistan,--,"Feb 28, 1993 (29 years)",Logar,Batsman,"Afghanistan, Afghanistan A, Chittagong Vikings, Montreal Tigers, Kandahar Knights, Maratha Arabians, Afghanistan U23, Winnipeg Hawks, Saint Lucia Kings, Khulna Tigers, Team Abu Dhabi, Karachi Kings, Deccan Gladiators, Dambulla Giants, Minister Group Dhaka, Barbados Royals, Delhi Bulls, Kandy Falcons, MI Emirates",--,45,37,--,--,--
Noor Ali Zadran,Afghanistan,--,"Jul 10, 1988 (34 years)","Khost, Afghanistan",Batsman,Afghanistan,--,--,--,--,--,--
Rahmat Shah,Afghanistan,--,"Jul 06, 1993 (29 years)",Paktia,Batting Allrounder,"Afghanistan, Afghanistan A, Nangarhar Leopards",95,23,--,--,--,--
Samiullah Shinwari,Afghanistan,--,"Feb 03, 1987 (35 years)","Nangrahar, Afghanistan",Batting Allrounder,"Afghanistan, Khulna Royal Bengals, Rangpur Riders, Paktia Panthers, Sindhis, Peshawar Zalmi, Afghanistan U23, Dambulla Viiking, The Chennai Braves",--,--,--,--,--,--
Gulbadin Naib,Afghanistan,--,"Mar 16, 1991 (31 years)","Logar, Afghanistan",Bowling Allrounder,"Afghanistan, Balkh Legends, Sylhet Sixers, Pakhtoons, Delhi Bulls",--,--,--,--,95,--
Mohammad Nabi,Afghanistan,--,"Jan 01, 1985 (37 years)","Loger, Afghanistan",Bowling Allrounder,"Afghanistan, Sylhet Royals, Rangpur Riders, Quetta Gladiators, Chittagong Vikings, Sunrisers Hyderabad, St Kitts and Nevis Patriots, Comilla Victorians, Melbourne Renegades, Leicestershire, Balkh Legends, Bengal Tigers, Kent, Delhi Bulls, Rangpur Rangers, Saint Lucia Kings, Karachi Kings, London Spirit, Northamptonshire, Kolkata Knight Riders, Jamaica Tallawahs, Sharjah Warriors",--,65,56,--,12,52
Rashid Khan,Afghanistan,--,"Sep 20, 1998 (24 years)",Nangarhar,Bowling Allrounder,"Afghanistan, Afghanistan U19, Comilla Victorians, Sunrisers Hyderabad, Guyana Amazon Warriors, Adelaide Strikers, Quetta Gladiators, World XI, Sussex, Kabul Zwanan, Durban Heat, Maratha Arabians, Rotterdam Rhinos, Asia XI, Barbados Royals, Lahore Qalandars, Trent Rockets, Gujarat Titans, St Kitts and Nevis Patriots, MI Cape Town, New York Strikers",--,100,--,38,10,2
Mohammad Shahzad,Afghanistan,5ft 3in,"Jan 10, 1987 (35 years)","Nangarhar, Afghanistan",WK-Batsman,"Afghanistan, International World XI, Rangpur Riders, Paktia Panthers, Chittagong Vikings, Rajputs, Deccan Gladiators, Heat Stormers, Rangpur Rangers, The Chennai Braves, Minister Group Dhaka",--,--,--,--,--,--
Aftab Alam,Afghanistan,--,"Nov 30, 1992 (30 years)","Nangarhar, Afghanistan",Bowler,"Afghanistan, Balkh Legends, Flying Oryx, Dambulla Viiking",--,--,--,--,--,--
Dawlat Zadran,Afghanistan,--,"Mar 19, 1988 (34 years)","Khost, Afghanistan",Bowler,Afghanistan,--,--,--,--,--,--
Hamid Hassan,Afghanistan,--,"Jun 01, 1987 (35 years)","Nengrakar, Afghanistan",Bowler,"Afghanistan, Barisal Burners, Essex, Deccan Gladiators",--,--,--,--,--,--
Mujeeb Ur Rahman,Afghanistan,--,"Mar 28, 2001 (21 years)",Khost,Bowler,"Afghanistan U19, Comilla Victorians, Afghanistan, Punjab Kings, Hampshire, Nangarhar Leopards, Bengal Tigers, Brisbane Heat, Middlesex, Qalandars, Cumilla Warriors, Asia XI, Jamaica Tallawahs, Peshawar Zalmi, Bangla Tigers, Sunrisers Hyderabad, Northern Superchargers, Fortune Barishal, Barbados Royals, Deccan Gladiators, Melbourne Renegades, Deccan Gladiators, Dubai Capitals",--,--,--,--,8,8
Fakhar Zaman,Pakistan,--,"Apr 10, 1990 (32 years)","Mardan, North-West Frontier Province",Batsman,"Pakistan A, Lahore Qalandars, Pakistan, Somerset, Durban Qalandars, Comilla Victorians, Rotterdam Rhinos, Glamorgan, Team Green, Team White, Brisbane Heat",--,11,84,--,--,--
Imam-ul-Haq,Pakistan,--,"Dec 12, 1995 (26 years)","Lahore, Punjab",Batsman,"Pakistan U19, Pakistan U23, Pakistan, Peshawar Zalmi, Team White, Pakistan A, Somerset",50,2,--,--,--,--
Babar Azam,Pakistan,--,"Oct 15, 1994 (28 years)","Lahore, Punjab",Batsman,"Pakistan U19, Sylhet Royals, Pakistan, Pakistan A, Islamabad United, Rangpur Riders, Karachi Kings, Guyana Amazon Warriors, Sylhet Sixers, Somerset, Dublin Chiefs, Team White, Team Green",3,1,4,--,--,--
Asif Ali,Pakistan,--,"Oct 01, 1991 (31 years)","Faisalabad, Punjab",Batsman,"Pakistan, Islamabad United, Pakistan A, Cape Town Blitz, Edmonton Royals, Barbados Royals, Vancouver Knights, Dhaka Platoon, Jamaica Tallawahs, Jaffna Stallions, Qalandars, St Kitts and Nevis Patriots, Worcestershire, Colombo Stars, Hobart Hurricanes",--,--,--,--,--,--
Haris Sohail,Pakistan,--,"Jan 09, 1989 (33 years)","Sialkot, Punjab",Batting Allrounder,"Pakistan, Sialkot Stallions, Khulna Royal Bengals, Peshawar Zalmi, Pakistan U23, Lahore Qalandars, Pakistan A, Colombo Stars",97,41,--,93,--,--
Mohammad Hafeez,Pakistan,--,"Oct 17, 1980 (42 years)","Sargodha, Punjab",Batting Allrounder,"Pakistan, Kolkata Knight Riders, Khulna Royal Bengals, Wayamba United, Guyana Amazon Warriors, Melbourne Renegades, Melbourne Stars, Lahore Lions, Dhaka Dynamites, Peshawar Zalmi, Pakistan Cricket Board Patrons XI, Hung Hom JD Jaguars, St Kitts and Nevis Patriots, Durban Qalandars, Montreal Tigers, Nangarhar Leopards, Rajshahi Kings, Lahore Qalandars, Edmonton Royals, St Kitts and Nevis Patriots, Middlesex, Desert Riders, Team Green, Maratha Arabians, Delhi Bulls, Galle Gladiators, Asia Lions",--,--,--,--,--,--
Shoaib Malik,Pakistan,--,"Feb 01, 1982 (40 years)","Sialkot, Punjab",Batting Allrounder,"Pakistan, Asia XI, Delhi Capitals, Sialkot Stallions, Lancashire, Chittagong Kings, Uva Next, Pakistan All Star XI, Khulna Royal Bengals, Barbados Royals, Hobart Hurricanes, Warwickshire, Comilla Victorians, Karachi Kings, Chittagong Vikings, Multan Sultans, World XI, Guyana Amazon Warriors, Vancouver Knights, Jozi Stars, Delhi Bulls, Rajshahi Royals, Peshawar Zalmi, Jaffna Stallions, Maratha Arabians, Jaffna Kings, Asia Lions",--,--,--,--,--,--
Shadab Khan,Pakistan,--,"Oct 04, 1998 (24 years)",Mianwali,Bowling Allrounder,"Pakistan U19, Pakistan A, Islamabad United, Pakistan, Trinbago Knight Riders, Khulna Titans, Brisbane Heat, Guyana Amazon Warriors, Edmonton Royals, Dhaka Platoon, Team White, Team Green, Manchester Originals, Sydney Sixers, Yorkshire",--,--,--,--,29,18
Imad Wasim,Pakistan,--,"Dec 18, 1988 (33 years)","Swansea, Glamorgan, Wales",Bowling Allrounder,"Pakistan, Barisal Bulls, Karachi Kings, Jamaica Tallawahs, Comilla Victorians, Durham, Stellenbosch Kings, Winnipeg Hawks, Barbados Royals, Nottinghamshire, Chattogram Challengers, Team Green, Melbourne Renegades, Galle Gladiators, Delhi Bulls",--,69,--,--,64,--
Sarfaraz Ahmed,Pakistan,--,"May 22, 1987 (35 years)","Karachi, Sind",WK-Batsman,"Pakistan, Pakistan U19, Pakistan All Star XI, Quetta Gladiators, Yorkshire, Khulna Titans, Team Green, Team White, Galle Gladiators",--,77,--,--,--,--
